Артикул;Категория;Наименование;Описание;Цена в руб.;Ссылка
866968;Видеокарта PCI-E;ASUS GeForce RTX 3080 ROG STRIX WHITE OC (ROG-STRIX-RTX3080-O10G-WHITE-V2);10GB GDDR6X 320bit 8nm 1440/19000MHz 2*HDMI/3*DP RTL;162983;https://www.xcomspb.ru/asus_geforce_rtx_3080_rog_strix_white_oc_rog-strix-rtx3080-o10g-white-v2_866968.html
867529;Видеокарта PCI-E;ASUS GeForce RTX 3080 TUF GAMING (TUF-RTX3080-10G-V2-GAMING);10GB GDDR6X 320bit 8nm 1440/19000MHz 2*HDMI/3*DP RTL;164046;https://www.xcomspb.ru/asus_geforce_rtx_3080_tuf_gaming_tuf-rtx3080-10g-v2-gaming_867529.html
870369;Видеокарта PCI-E;XFX Radeon RX 6900 XT (RX-69XTMAQFD);16GB GDDR6 256bit HDMI/2*DP;164401;https://www.xcomspb.ru/xfx_radeon_rx_6900_xt_rx-69xtmaqfd_870369.html
865035;Видеокарта PCI-E;ASUS GeForce RTX 3080 TUF GAMING OC (TUF-RTX3080-O10G-V2-GAMING);10GB GDDR6X 320bit 8nm 1440/19000MHz 2*HDMI/3*DP;164755;https://www.xcomspb.ru/asus_geforce_rtx_3080_tuf_gaming_oc_tuf-rtx3080-o10g-v2-gaming_865035.html
824672;Видеокарта PCI-E;ASUS Radeon RX 6900 XT TUF GAMING;16GB GDDR6 256bit 7nm 1900/16000MHz HDMI/3*DP RTL;175739;https://www.xcomspb.ru/asus_radeon_rx_6900_xt_tuf_gaming_824672.html
870364;Видеокарта PCI-E;ASUS Radeon RX 6900 XT ROG Strix LC (ROG-STRIX-LC-RX6900XT-T16G-GAMING);16GB GDDR6 256bit 7nm 2200/16000MHz HDMI/3*DP/USB Type-C;183888;https://www.xcomspb.ru/asus_radeon_rx_6900_xt_rog_strix_lc_rog-strix-lc-rx6900xt-t16g-gaming_870364.html
770699;Видеокарта PCI-E;PNY Quadro RTX 5000;16GB GDDR6 256bit 12nm 1350/14000MHz 4*DP/USB Type-C;184445;https://www.xcomspb.ru/pny_quadro_rtx_5000_770699.html
812386;Видеокарта PCI-E;Palit GeForce RTX 3080 GameRock (NED3080U19IA-1020G);10GB GDDR6X 320bit 8nm 1440/19000MHz HDMI/3*DP;188671;https://www.xcomspb.ru/palit_geforce_rtx_3080_gamerock_ned3080u19ia-1020g_812386.html
809879;Видеокарта PCI-E;Palit GeForce RTX 3080 GamingPro OC (NED3080S19IA-132AA);10GB GDDR6X 320bit 1440/1740MHz HDMI 2.1/3*DP1.4a;191328;https://www.xcomspb.ru/palit_geforce_rtx_3080_gamingpro_oc_ned3080s19ia-132aa_809879.html
677410;Видеокарта PCI-E;PNY Quadro RTX 5000;16GB GDDR6 256 bit 4*DP Virtual Link RTL;213942;https://www.xcomspb.ru/pny_quadro_rtx_5000_677410.html
680615;Видеокарта PCI-E;nVidia GeForce Titan V;12GB HBM2 3072 bit 12nm 1200/1700MHz 3*DP/HDMI RTL;290401;https://www.xcomspb.ru/nvidia_geforce_titan_v_680615.html
816968;Видеокарта PCI-E;GIGABYTE GeForce RTX 3090 TURBO (GV-N3090TURBO-24GD);24GB GDDR6X 384bit 8nm 1395/19500MHz 2*HDMI/2*DP;297622;https://www.xcomspb.ru/gigabyte_geforce_rtx_3090_turbo_gv-n3090turbo-24gd_816968.html
874588;Видеокарта PCI-E;ASUS GeForce RTX 3090 EKWB;24GB GDDR6X 384bit 8nm 1395/19500MHz HDMI/3*DP;313566;https://www.xcomspb.ru/asus_geforce_rtx_3090_ekwb_874588.html
863217;Видеокарта PCI-E;PNY Quadro RTX 6000;24GB GDDR6 256-bit 4*DP/HDCP/USB Type-C;338268;https://www.xcomspb.ru/pny_quadro_rtx_6000_863217.html
687274;Видеокарта PCI-E;PNY Quadro RTX 6000;24GB GDDR6 256-bit 4*DP/HDCP/USB Type-C Retail;357539;https://www.xcomspb.ru/pny_quadro_rtx_6000_687274.html
677411;Видеокарта PCI-E;PNY Quadro RTX 6000;24GB GDDR6 384 bit 4*DP Virtual Link DP to DVI-D (SL) cable 8 pin power supply cable;427529;https://www.xcomspb.ru/pny_quadro_rtx_6000_677411.html
831713;Видеокарта PCI-E;PNY RTX A6000 (VCNRTXA6000-PB);48GB GDDR6 384bit 8nm 1455/16000MHz 4*DP 300W RTL;498273;https://www.xcomspb.ru/pny_rtx_a6000_vcnrtxa6000-pb_831713.html
798563;Видеокарта PCI-E;nVidia Quadro RTX 8000;48GB GDDR6 384bit 12nm 1230/14000MHz 4*DP OEM;517291;https://www.xcomspb.ru/nvidia_quadro_rtx_8000_798563.html
739318;Видеокарта PCI-E;PNY Quadro RTX 8000 (VCQRTX8000-PB);48GB GDDR6 384bit 4*DP, VirtualLink;568291;https://www.xcomspb.ru/pny_quadro_rtx_8000_vcqrtx8000-pb_739318.html
728407;Видеокарта PCI-E;nVidia Quadro GP100;16GB HBM2 4096bit 717 GB/s 4*DP/DVI-D DL RTL;607386;https://www.xcomspb.ru/nvidia_quadro_gp100_728407.html
818965;Видеокарта PCI-E;PNY A100;40GB HBM2 with ECC 5120bit 7nm 1410/2430MHz;970297;https://www.xcomspb.ru/pny_a100_818965.html
